"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CORIPUS","198408","12345.839","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198409","12271.2","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198410","11977.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198411","12108","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198412","11754.935","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198413","12044.216","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198501","11444.677","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198502","11366.821","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198503","11371.613","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198504","11804.533","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198505","12093.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198506","12292","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198507","12445.129","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198508","12045.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198509","11924.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198510","12208.516","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198511","12409.8","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198512","12569.935","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198513","12002.03","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198601","12373.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198602","11917.75","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198603","11651.871","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198604","12512.367","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198605","13278.806","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198606","13261.2","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198607","12917.032","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198608","13286.806","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198609","13096.9","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198610","12635.903","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198611","12830.833","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198612","12777.323","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198613","12715.879","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198701","12569.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198702","12289.75","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198703","12080.516","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198704","12512.133","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198705","12652.516","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198706","13201.6","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198707","13430.129","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198708","13379.935","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198709","13168.367","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198710","12732.645","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198711","12981.167","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198712","13211.871","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198713","12854.2","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198801","12919.516","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198802","12643.828","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198803","13016.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198804","13135.1","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198805","13424.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198806","13486.633","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198807","13616.774","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198808","13752.419","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198809","13261","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198810","13125.677","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198811","13156.467","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198812","13381","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198813","13246.38","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198901","13329.645","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198902","12764.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198903","12962.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198904","12955.867","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198905","13404.645","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198906","13905.1","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198907","13847.839","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198908","13860.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198909","13790.6","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198910","13360.161","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198911","13419.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198912","13164.645","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198913","13401.044","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199001","13491.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199002","13486.571","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199003","12876.032","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199004","13050.8","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199005","13386.065","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199006","13688.6","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199007","14211.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199008","14141.935","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199009","14103.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199010","12825.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199011","12953.333","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199012","12708.419","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
